Date,Ticker,Action,Price,Qty,Prob,Reason,P&L CLP
2025-09-05,MALLPLAZA.SN,BUY,2454.114013671875,2029,0.371023595463617,ML Signal,
2025-09-24,LTM.SN,BUY,21.969371795654297,113356,0.3731994782286137,ML Signal,
2025-09-25,LTM.SN,SELL,20.669410705566406,113356,,"Confirmed Trailing Stop (Peak Drop -5.9%, ML 35.1%)",-156730.3962077638
2025-09-29,ILC.SN,BUY,12750.0,188,0.3717374695189539,ML Signal,
2025-10-13,CONCHATORO.SN,BUY,984.3821411132812,1228,0.3867459840224758,ML Signal,
2025-10-17,ENTEL.SN,BUY,3907.070556640625,154,0.3722300009661994,ML Signal,
2025-11-03,ILC.SN,SELL,15300.0,188,,Take Profit (+20.0%),467894.3999999999
2025-11-07,MALLPLAZA.SN,SELL,2955.0,2029,,Take Profit (+20.4%),992314.8862597654
2025-11-12,ENTEL.SN,SELL,4737.3232421875,154,,Take Profit (+21.3%),124940.72245703125
2025-11-20,CONCHATORO.SN,SELL,1031.5986328125,1228,,"Confirmed Trailing Stop (Peak Drop -5.7%, ML 18.0%)",52914.63932226552
2025-12-04,ENTEL.SN,BUY,4306.89990234375,1322,0.43350175738152036,ML Signal,
2025-12-11,ENTEL.SN,SELL,4200.0,1322,,"Confirmed Trailing Stop (Peak Drop -5.2%, ML 40.1%)",-163531.27089843713
2025-12-11,ENTEL.SN,BUY,4200.0,1333,0.4009384973361825,ML Signal,
2026-01-05,ILC.SN,BUY,18500.0,151,0.489167388139805,ML Signal,
2026-01-12,ENTEL.SN,SELL,4605.0,1333,,"Confirmed Trailing Stop (Peak Drop -7.7%, ML 31.5%)",515311.13999999966
2026-01-29,COLBUN.SN,BUY,140.0,31789,0.4344512120198354,ML Signal,
2026-02-03,PARAUCO.SN,BUY,3889.0,572,0.3751641814247093,ML Signal,
2026-02-04,ILC.SN,SELL,22382.0,151,,Take Profit (+21.0%),572663.2719999999
2026-02-05,SQM-B.SN,BUY,61875.0,45,0.4295331958062294,ML Signal,
2026-02-06,PARAUCO.SN,SELL,3679.89990234375,572,,"Confirmed Trailing Stop (Peak Drop -5.4%, ML 27.1%)",-128024.8668359376
2026-02-06,MALLPLAZA.SN,BUY,3719.0,656,0.37417560729447863,ML Signal,
2026-02-09,ENTEL.SN,BUY,4578.0,266,0.3757300485422576,ML Signal,
2026-02-09,PARAUCO.SN,BUY,3678.89990234375,166,0.3734298671862834,ML Signal,
2026-02-10,ENTEL.SN,SELL,4000.0,266,,"Confirmed Trailing Stop (Peak Drop -12.6%, ML 39.5%)",-158004.0
2026-02-10,ENTEL.SN,BUY,4000.0,208,0.3949719009173919,ML Signal,
2026-02-13,ENTEL.SN,SELL,3760.0,208,,"Confirmed Trailing Stop (Peak Drop -6.0%, ML 37.8%)",-53048.31999999995
2026-02-13,ENTEL.SN,BUY,3760.0,214,0.377549599504146,ML Signal,
2026-02-16,COLBUN.SN,SELL,137.75,31789,,"Confirmed Trailing Stop (Peak Drop -5.0%, ML 26.0%)",-89040.98900000006
2026-02-24,ENTEL.SN,SELL,3860.0,214,,"Confirmed Trailing Stop (Peak Drop -6.9%, ML 44.1%)",18095.839999999967
2026-02-24,ENTEL.SN,BUY,3860.0,773,0.4405484403949385,ML Signal,
2026-03-02,MALLPLAZA.SN,SELL,4057.699951171875,656,,"Confirmed Trailing Stop (Peak Drop -6.0%, ML 33.4%)",211539.76329687517
2026-03-02,LTM.SN,BUY,23.209999084472656,121272,0.46325115904373804,ML Signal,
2026-03-03,PARAUCO.SN,SELL,3750.0,166,,"Confirmed Trailing Stop (Peak Drop -9.5%, ML 18.1%)",9312.6162109375
2026-03-03,SQM-B.SN,SELL,63550.0,45,,"Confirmed Trailing Stop (Peak Drop -7.0%, ML 16.7%)",63936.0
