horizon,fold,threshold,precision,recall,f1,accuracy,train_end,test_start,test_end,support
20d,1,0.35,0.27721390510022836,0.9909297052154195,0.43323089124615843,0.2814228255404726,2017-09-19 00:00:00,2017-09-20 00:00:00,2018-04-30 00:00:00,7956
20d,1,0.4,0.27835051546391754,0.9551020408163265,0.43107153822536076,0.30128205128205127,2017-09-19 00:00:00,2017-09-20 00:00:00,2018-04-30 00:00:00,7956
20d,1,0.45,0.28820315960431125,0.8852607709750567,0.43484072176431277,0.3622423328305681,2017-09-19 00:00:00,2017-09-20 00:00:00,2018-04-30 00:00:00,7956
20d,2,0.35,0.14743589743589744,1.0,0.2569832402234637,0.14743589743589744,2018-04-30 00:00:00,2018-04-30 00:00:00,2018-12-07 00:00:00,7956
20d,2,0.4,0.1473657739217905,0.9991474850809889,0.25684856454087224,0.14756158873805933,2018-04-30 00:00:00,2018-04-30 00:00:00,2018-12-07 00:00:00,7956
20d,2,0.45,0.15150713907985194,0.9769820971867008,0.2623326084468353,0.18991955756661638,2018-04-30 00:00:00,2018-04-30 00:00:00,2018-12-07 00:00:00,7956
20d,3,0.35,0.15948894631065175,0.7491571139581928,0.2629897029234229,0.2173202614379085,2018-12-07 00:00:00,2018-12-07 00:00:00,2019-08-06 00:00:00,7956
20d,3,0.4,0.15538391640163562,0.6918408631153068,0.2537719515211477,0.24157868275515335,2018-12-07 00:00:00,2018-12-07 00:00:00,2019-08-06 00:00:00,7956
20d,3,0.45,0.1484922575387123,0.6142953472690492,0.2391703859280651,0.27149321266968324,2018-12-07 00:00:00,2018-12-07 00:00:00,2019-08-06 00:00:00,7956
20d,4,0.35,0.28123086344151865,0.790447504302926,0.41485998193315266,0.34866767219708394,2019-08-06 00:00:00,2019-08-07 00:00:00,2021-10-21 00:00:00,7956
20d,4,0.4,0.2766030013642565,0.697934595524957,0.3961895456765999,0.37858220211161386,2019-08-06 00:00:00,2019-08-07 00:00:00,2021-10-21 00:00:00,7956
20d,4,0.45,0.27110487266893923,0.5817555938037866,0.3698536451921762,0.42094017094017094,2019-08-06 00:00:00,2019-08-07 00:00:00,2021-10-21 00:00:00,7956
20d,5,0.35,0.31208397337429594,0.979903536977492,0.4733980582524272,0.31825037707390647,2021-10-21 00:00:00,2021-10-21 00:00:00,2023-12-27 00:00:00,7956
20d,5,0.4,0.31392026126003536,0.9272508038585209,0.4690454406831351,0.34351432880844646,2021-10-21 00:00:00,2021-10-21 00:00:00,2023-12-27 00:00:00,7956
20d,5,0.45,0.31781178769130575,0.7845659163987139,0.45237543453070683,0.405982905982906,2021-10-21 00:00:00,2021-10-21 00:00:00,2023-12-27 00:00:00,7956
20d,6,0.35,0.2994208008058424,0.998320738874895,0.4606741573033708,0.30015082956259426,2023-12-26 00:00:00,2023-12-27 00:00:00,2026-02-12 00:00:00,7956
20d,6,0.4,0.3009162303664921,0.9651553316540722,0.45879066054679707,0.31825037707390647,2023-12-26 00:00:00,2023-12-27 00:00:00,2026-02-12 00:00:00,7956
20d,6,0.45,0.30442035029190995,0.7661628883291351,0.43571684373880865,0.4058572146807441,2023-12-26 00:00:00,2023-12-27 00:00:00,2026-02-12 00:00:00,7956
